song_name,duration,category,bpm_sequence
bpm_60,180.0,BPM_Sweep,"60.0"
bpm_61,180.0,BPM_Sweep,"61.0"
bpm_62,180.0,BPM_Sweep,"62.0"
bpm_63,180.0,BPM_Sweep,"63.0"
bpm_64,180.0,BPM_Sweep,"64.0"
bpm_65,180.0,BPM_Sweep,"65.0"
bpm_66,180.0,BPM_Sweep,"66.0"
bpm_67,180.0,BPM_Sweep,"67.0"
bpm_68,180.0,BPM_Sweep,"68.0"
bpm_69,180.0,BPM_Sweep,"69.0"
bpm_70,180.0,BPM_Sweep,"70.0"
bpm_71,180.0,BPM_Sweep,"71.0"
bpm_72,180.0,BPM_Sweep,"72.0"
bpm_73,180.0,BPM_Sweep,"73.0"
bpm_74,180.0,BPM_Sweep,"74.0"
bpm_75,180.0,BPM_Sweep,"75.0"
bpm_76,180.0,BPM_Sweep,"76.0"
bpm_77,180.0,BPM_Sweep,"77.0"
bpm_78,180.0,BPM_Sweep,"78.0"
bpm_79,180.0,BPM_Sweep,"79.0"
bpm_80,180.0,BPM_Sweep,"80.0"
bpm_81,180.0,BPM_Sweep,"81.0"
bpm_82,180.0,BPM_Sweep,"82.0"
bpm_83,180.0,BPM_Sweep,"83.0"
bpm_84,180.0,BPM_Sweep,"84.0"
bpm_85,180.0,BPM_Sweep,"85.0"
bpm_86,180.0,BPM_Sweep,"86.0"
bpm_87,180.0,BPM_Sweep,"87.0"
bpm_88,180.0,BPM_Sweep,"88.0"
bpm_89,180.0,BPM_Sweep,"89.0"
bpm_90,180.0,BPM_Sweep,"90.0"
bpm_91,180.0,BPM_Sweep,"91.0"
bpm_92,180.0,BPM_Sweep,"92.0"
bpm_93,180.0,BPM_Sweep,"93.0"
bpm_94,180.0,BPM_Sweep,"94.0"
bpm_95,180.0,BPM_Sweep,"95.0"
bpm_96,180.0,BPM_Sweep,"96.0"
bpm_97,180.0,BPM_Sweep,"97.0"
bpm_98,180.0,BPM_Sweep,"98.0"
bpm_99,180.0,BPM_Sweep,"99.0"
bpm_100,180.0,BPM_Sweep,"100.0"
bpm_101,180.0,BPM_Sweep,"101.0"
bpm_102,180.0,BPM_Sweep,"102.0"
bpm_103,180.0,BPM_Sweep,"103.0"
bpm_104,180.0,BPM_Sweep,"104.0"
bpm_105,180.0,BPM_Sweep,"105.0"
bpm_106,180.0,BPM_Sweep,"106.0"
bpm_107,180.0,BPM_Sweep,"107.0"
bpm_108,180.0,BPM_Sweep,"108.0"
bpm_109,180.0,BPM_Sweep,"109.0"
bpm_110,180.0,BPM_Sweep,"110.0"
bpm_111,180.0,BPM_Sweep,"111.0"
bpm_112,180.0,BPM_Sweep,"112.0"
bpm_113,180.0,BPM_Sweep,"113.0"
bpm_114,180.0,BPM_Sweep,"114.0"
bpm_115,180.0,BPM_Sweep,"115.0"
bpm_116,180.0,BPM_Sweep,"116.0"
bpm_117,180.0,BPM_Sweep,"117.0"
bpm_118,180.0,BPM_Sweep,"118.0"
bpm_119,180.0,BPM_Sweep,"119.0"
bpm_120,180.0,BPM_Sweep,"120.0"
bpm_121,180.0,BPM_Sweep,"121.0"
bpm_122,180.0,BPM_Sweep,"122.0"
bpm_123,180.0,BPM_Sweep,"123.0"
bpm_124,180.0,BPM_Sweep,"124.0"
bpm_125,180.0,BPM_Sweep,"125.0"
bpm_126,180.0,BPM_Sweep,"126.0"
bpm_127,180.0,BPM_Sweep,"127.0"
bpm_128,180.0,BPM_Sweep,"128.0"
bpm_129,180.0,BPM_Sweep,"129.0"
bpm_130,180.0,BPM_Sweep,"130.0"
bpm_131,180.0,BPM_Sweep,"131.0"
bpm_132,180.0,BPM_Sweep,"132.0"
bpm_133,180.0,BPM_Sweep,"133.0"
bpm_134,180.0,BPM_Sweep,"134.0"
bpm_135,180.0,BPM_Sweep,"135.0"
bpm_136,180.0,BPM_Sweep,"136.0"
bpm_137,180.0,BPM_Sweep,"137.0"
bpm_138,180.0,BPM_Sweep,"138.0"
bpm_139,180.0,BPM_Sweep,"139.0"
bpm_140,180.0,BPM_Sweep,"140.0"
bpm_141,180.0,BPM_Sweep,"141.0"
bpm_142,180.0,BPM_Sweep,"142.0"
bpm_143,180.0,BPM_Sweep,"143.0"
bpm_144,180.0,BPM_Sweep,"144.0"
bpm_145,180.0,BPM_Sweep,"145.0"
bpm_146,180.0,BPM_Sweep,"146.0"
bpm_147,180.0,BPM_Sweep,"147.0"
bpm_148,180.0,BPM_Sweep,"148.0"
bpm_149,180.0,BPM_Sweep,"149.0"
bpm_150,180.0,BPM_Sweep,"150.0"
bpm_151,180.0,BPM_Sweep,"151.0"
bpm_152,180.0,BPM_Sweep,"152.0"
bpm_153,180.0,BPM_Sweep,"153.0"
bpm_154,180.0,BPM_Sweep,"154.0"
bpm_155,180.0,BPM_Sweep,"155.0"
bpm_156,180.0,BPM_Sweep,"156.0"
bpm_157,180.0,BPM_Sweep,"157.0"
bpm_158,180.0,BPM_Sweep,"158.0"
bpm_159,180.0,BPM_Sweep,"159.0"
bpm_160,180.0,BPM_Sweep,"160.0"
bpm_161,180.0,BPM_Sweep,"161.0"
bpm_162,180.0,BPM_Sweep,"162.0"
bpm_163,180.0,BPM_Sweep,"163.0"
bpm_164,180.0,BPM_Sweep,"164.0"
bpm_165,180.0,BPM_Sweep,"165.0"
bpm_166,180.0,BPM_Sweep,"166.0"
bpm_167,180.0,BPM_Sweep,"167.0"
bpm_168,180.0,BPM_Sweep,"168.0"
bpm_169,180.0,BPM_Sweep,"169.0"
bpm_170,180.0,BPM_Sweep,"170.0"
bpm_171,180.0,BPM_Sweep,"171.0"
bpm_172,180.0,BPM_Sweep,"172.0"
bpm_173,180.0,BPM_Sweep,"173.0"
bpm_174,180.0,BPM_Sweep,"174.0"
bpm_175,180.0,BPM_Sweep,"175.0"
bpm_176,180.0,BPM_Sweep,"176.0"
bpm_177,180.0,BPM_Sweep,"177.0"
bpm_178,180.0,BPM_Sweep,"178.0"
bpm_179,180.0,BPM_Sweep,"179.0"
bpm_180,180.0,BPM_Sweep,"180.0"
bpm_181,180.0,BPM_Sweep,"181.0"
bpm_182,180.0,BPM_Sweep,"182.0"
bpm_183,180.0,BPM_Sweep,"183.0"
bpm_184,180.0,BPM_Sweep,"184.0"
bpm_185,180.0,BPM_Sweep,"185.0"
bpm_186,180.0,BPM_Sweep,"186.0"
bpm_187,180.0,BPM_Sweep,"187.0"
bpm_188,180.0,BPM_Sweep,"188.0"
bpm_189,180.0,BPM_Sweep,"189.0"
bpm_190,180.0,BPM_Sweep,"190.0"
bpm_191,180.0,BPM_Sweep,"191.0"
bpm_192,180.0,BPM_Sweep,"192.0"
bpm_193,180.0,BPM_Sweep,"193.0"
bpm_194,180.0,BPM_Sweep,"194.0"
bpm_195,180.0,BPM_Sweep,"195.0"
bpm_196,180.0,BPM_Sweep,"196.0"
bpm_197,180.0,BPM_Sweep,"197.0"
bpm_198,180.0,BPM_Sweep,"198.0"
bpm_199,180.0,BPM_Sweep,"199.0"
bpm_200,180.0,BPM_Sweep,"200.0"
bpm_201,180.0,BPM_Sweep,"201.0"
bpm_202,180.0,BPM_Sweep,"202.0"
bpm_203,180.0,BPM_Sweep,"203.0"
bpm_204,180.0,BPM_Sweep,"204.0"
bpm_205,180.0,BPM_Sweep,"205.0"
bpm_206,180.0,BPM_Sweep,"206.0"
bpm_207,180.0,BPM_Sweep,"207.0"
bpm_208,180.0,BPM_Sweep,"208.0"
bpm_209,180.0,BPM_Sweep,"209.0"
bpm_210,180.0,BPM_Sweep,"210.0"
bpm_211,180.0,BPM_Sweep,"211.0"
bpm_212,180.0,BPM_Sweep,"212.0"
bpm_213,180.0,BPM_Sweep,"213.0"
bpm_214,180.0,BPM_Sweep,"214.0"
bpm_215,180.0,BPM_Sweep,"215.0"
bpm_216,180.0,BPM_Sweep,"216.0"
bpm_217,180.0,BPM_Sweep,"217.0"
bpm_218,180.0,BPM_Sweep,"218.0"
bpm_219,180.0,BPM_Sweep,"219.0"
bpm_220,180.0,BPM_Sweep,"220.0"
