Song,File_Type,Difficulty,Total_Notes,4th_%,8th_%,12th_%,16th_%,24th_%,32nd_%,64th_%,Other_%,Density_Label
âƒÇÃÉtÉ@ÉìÉ^ÉWÉA.sm,.sm,Medium,328,40.2,33.2,0.0,22.6,0.0,2.4,1.5,0.0,Hard
âƒÇÃÉtÉ@ÉìÉ^ÉWÉA.sm,.sm,Hard,562,30.2,29.4,2.0,35.6,2.0,0.0,0.9,0.0,Challenging
âƒÇÃÉtÉ@ÉìÉ^ÉWÉA.sm,.sm,Challenge,679,28.1,28.3,0.6,41.7,0.6,0.0,0.7,0.0,Challenging
ÇÌÇΩÇµÇÃÇ≥ÇµÇ∑ÇπÇª.sm,.sm,Medium,356,43.3,43.3,1.7,11.8,0.0,0.0,0.0,0.0,Hard
ÇÌÇΩÇµÇÃÇ≥ÇµÇ∑ÇπÇª.sm,.sm,Hard,470,35.3,37.0,2.8,21.9,2.8,0.2,0.0,0.0,Hard
ÇÌÇΩÇµÇÃÇ≥ÇµÇ∑ÇπÇª.sm,.sm,Challenge,699,28.6,29.5,3.4,31.8,3.4,0.1,0.0,3.1,Challenging
Piece of Time.sm,.sm,Challenge,683,44.2,40.0,0.4,14.9,0.4,0.0,0.0,0.0,Hard
Piece of Time.sm,.sm,Beginner,717,42.1,38.1,0.4,19.0,0.4,0.0,0.0,0.0,Hard
ÉÅÉ`ÉÉóˆÇÁÇÒÇ‹ÇÒÅô.sm,.sm,Challenge,546,33.5,34.2,0.0,32.2,0.0,0.0,0.0,0.0,Challenging
ÉÅÉ`ÉÉóˆÇÁÇÒÇ‹ÇÒÅô.sm,.sm,Medium,360,41.4,42.8,0.0,15.8,0.0,0.0,0.0,0.0,Hard
ÉÅÉ`ÉÉóˆÇÁÇÒÇ‹ÇÒÅô.sm,.sm,Hard,534,33.7,34.5,0.7,30.3,0.7,0.0,0.0,0.0,Challenging
ÉÅÉ`ÉÉóˆÇÁÇÒÇ‹ÇÒÅô.sm,.sm,Beginner,617,31.0,31.9,0.0,32.9,0.0,4.2,0.0,0.0,Challenging
Girls spirit.sm,.sm,Challenge,390,55.1,35.1,1.0,8.2,0.5,0.0,0.0,0.0,Hard
Girls spirit.sm,.sm,Hard,373,57.6,32.2,1.1,8.6,0.5,0.0,0.0,0.0,Hard
Love Hell Rocket.sm,.sm,Medium,417,55.2,44.8,0.0,0.0,0.0,0.0,0.0,0.0,Easy
Love Hell Rocket.sm,.sm,Hard,537,48.0,47.9,0.6,3.0,0.6,0.0,0.0,0.0,Hard
Love Hell Rocket.sm,.sm,Challenge,744,34.7,34.8,2.8,24.9,2.8,0.0,0.0,0.0,Hard
Ge-Ko-Ku-Jo.sm,.sm,Medium,276,95.7,4.3,0.0,0.0,0.0,0.0,0.0,0.0,Easy
Ge-Ko-Ku-Jo.sm,.sm,Hard,481,59.0,39.7,0.8,0.4,0.0,0.0,0.0,0.0,Easy
Ge-Ko-Ku-Jo.sm,.sm,Challenge,585,53.8,34.7,0.7,10.8,0.0,0.0,0.0,0.0,Hard
Precious Line.sm,.sm,Medium,436,34.9,33.0,8.3,23.9,0.0,0.0,0.0,0.0,Hard
Precious Line.sm,.sm,Hard,549,30.4,31.7,6.6,29.5,1.1,0.7,0.0,0.0,Hard
Precious Line.sm,.sm,Challenge,761,23.8,23.9,4.7,42.4,2.6,2.5,0.0,0.0,Challenging
DENGEKI Tube.sm,.sm,Challenge,1173,23.8,17.9,9.0,22.7,8.8,0.0,0.0,17.8,Challenging
Ç‹Ç¡ÇµÇÆÇÁÅI.sm,.sm,Challenge,761,27.2,27.2,3.3,32.9,5.1,4.3,0.0,0.0,Challenging
my sweet heart.sm,.sm,Challenge,473,48.0,45.5,0.0,6.6,0.0,0.0,0.0,0.0,Easy
èÓîMÇÃÉîÉHÉuÉã.sm,.sm,Medium,425,39.5,49.9,0.0,10.6,0.0,0.0,0.0,0.0,Hard
èÓîMÇÃÉîÉHÉuÉã.sm,.sm,Hard,629,40.1,43.4,0.0,14.9,0.0,0.0,1.6,0.0,Hard
èÓîMÇÃÉîÉHÉuÉã.sm,.sm,Challenge,838,32.2,33.5,1.3,30.2,1.3,0.1,1.3,0.0,Challenging
Change&Chance!.sm,.sm,Challenge,755,27.3,24.2,9.0,29.9,4.1,0.7,0.7,4.1,Challenging
Change&Chance!.sm,.sm,Medium,388,41.0,34.0,4.1,20.9,0.0,0.0,0.0,0.0,Hard
Change&Chance!.sm,.sm,Hard,588,33.8,29.1,2.7,34.4,0.0,0.0,0.0,0.0,Challenging
Feel The Beat.sm,.sm,Medium,600,36.7,32.0,0.0,31.3,0.0,0.0,0.0,0.0,Challenging
Feel The Beat.sm,.sm,Hard,998,30.5,28.5,0.0,41.1,0.0,0.0,0.0,0.0,Challenging
Feel The Beat.sm,.sm,Challenge,1218,26.1,25.0,0.0,48.9,0.0,0.0,0.0,0.0,Challenging
Bright Pain.sm,.sm,Medium,294,83.0,11.6,0.0,5.4,0.0,0.0,0.0,0.0,Easy
Bright Pain.sm,.sm,Hard,997,34.5,33.7,0.0,31.4,0.0,0.4,0.0,0.0,Challenging
Bright Pain.sm,.sm,Challenge,1191,29.6,30.0,0.1,38.3,0.1,2.0,0.0,0.0,Challenging
Bright Pain.sm,.sm,Beginner,1255,28.0,28.4,0.2,41.0,0.2,2.2,0.0,0.0,Challenging
DISCO.sm,.sm,Medium,362,57.2,41.7,0.0,1.1,0.0,0.0,0.0,0.0,Easy
DISCO.sm,.sm,Hard,495,42.8,33.1,1.2,21.6,1.2,0.0,0.0,0.0,Hard
DISCO.sm,.sm,Challenge,525,40.8,33.7,1.1,23.2,1.1,0.0,0.0,0.0,Hard
Venom.sm,.sm,Medium,681,32.9,32.2,0.0,33.2,0.0,1.6,0.0,0.1,Challenging
Venom.sm,.sm,Hard,858,31.9,31.0,0.0,35.7,0.0,1.3,0.0,0.1,Challenging
Venom.sm,.sm,Challenge,899,30.5,30.5,0.0,37.7,0.0,1.2,0.0,0.1,Challenging
Daydream cafe.sm,.sm,Medium,374,42.0,50.3,0.0,7.8,0.0,0.0,0.0,0.0,Easy
Daydream cafe.sm,.sm,Hard,411,40.9,48.4,0.0,10.7,0.0,0.0,0.0,0.0,Hard
Daydream cafe.sm,.sm,Challenge,550,33.1,36.5,0.0,15.6,0.0,14.5,0.2,0.0,Challenging
senten.sm,.sm,Medium,512,44.1,43.4,0.0,10.9,0.0,0.0,1.6,0.0,Hard
senten.sm,.sm,Hard,878,28.8,28.7,2.5,36.6,2.5,0.0,0.9,0.0,Challenging
senten.sm,.sm,Challenge,914,27.9,27.8,3.1,35.8,2.6,1.5,0.9,0.4,Challenging
Kaleidoscope.sm,.sm,Challenge,777,32.2,30.1,1.7,33.3,1.8,0.5,0.0,0.4,Challenging
Kaleidoscope.sm,.sm,Medium,336,60.1,39.6,0.0,0.3,0.0,0.0,0.0,0.0,Easy
Kaleidoscope.sm,.sm,Hard,376,55.1,37.0,0.0,8.0,0.0,0.0,0.0,0.0,Easy
ÉAÉåÉZÉCÉA.sm,.sm,Medium,291,60.5,39.5,0.0,0.0,0.0,0.0,0.0,0.0,Easy
ÉAÉåÉZÉCÉA.sm,.sm,Hard,392,58.2,33.4,0.0,8.4,0.0,0.0,0.0,0.0,Easy
ÉAÉåÉZÉCÉA.sm,.sm,Edit,934,25.6,23.7,7.1,33.0,7.1,0.6,2.6,0.4,Challenging
ÉAÉåÉZÉCÉA.sm,.sm,Challenge,538,42.8,32.5,0.0,24.7,0.0,0.0,0.0,0.0,Hard
è≠èóÇÃãÛîíÉvÉäÉYÉì.sm,.sm,Medium,402,52.2,46.3,0.0,1.5,0.0,0.0,0.0,0.0,Easy
è≠èóÇÃãÛîíÉvÉäÉYÉì.sm,.sm,Hard,444,48.6,46.4,0.0,5.0,0.0,0.0,0.0,0.0,Easy
è≠èóÇÃãÛîíÉvÉäÉYÉì.sm,.sm,Challenge,785,30.3,30.7,3.2,30.3,2.8,2.3,0.0,0.4,Challenging
quantum faith.sm,.sm,Medium,604,51.5,48.5,0.0,0.0,0.0,0.0,0.0,0.0,Easy
quantum faith.sm,.sm,Hard,706,46.5,49.9,0.0,3.7,0.0,0.0,0.0,0.0,Easy
quantum faith.sm,.sm,Challenge,805,47.8,47.7,0.0,4.5,0.0,0.0,0.0,0.0,Easy
Verflucht.sm,.sm,Medium,556,50.9,46.6,0.0,2.5,0.0,0.0,0.0,0.0,Easy
Verflucht.sm,.sm,Hard,982,29.1,27.7,0.0,43.2,0.0,0.0,0.0,0.0,Challenging
Verflucht.sm,.sm,Challenge,1158,26.5,25.3,0.7,46.8,0.7,0.0,0.0,0.0,Challenging
iÇâÇ´Ç»Ç≥Ç¢.sm,.sm,Challenge,1163,20.8,20.8,5.2,32.9,5.2,8.9,0.0,6.1,Challenging
ÉXÉ^Å[É`ÉX.sm,.sm,Medium,869,28.1,28.3,0.6,41.8,0.6,0.7,0.0,0.0,Challenging
ÉXÉ^Å[É`ÉX.sm,.sm,Hard,959,30.2,27.0,0.6,38.4,0.6,3.1,0.0,0.0,Challenging
ÉXÉ^Å[É`ÉX.sm,.sm,Challenge,1207,24.0,23.9,0.5,45.0,0.5,4.6,1.5,0.0,Challenging
Dreamin.sm,.sm,Medium,496,55.4,38.5,0.0,6.0,0.0,0.0,0.0,0.0,Easy
Dreamin.sm,.sm,Hard,567,49.9,40.4,0.0,9.7,0.0,0.0,0.0,0.0,Easy
Dreamin.sm,.sm,Challenge,637,46.0,43.3,0.0,10.7,0.0,0.0,0.0,0.0,Hard
É^ÉCÉàÉEÉpÉâÉ_ÉCÉX.sm,.sm,Medium,407,49.4,47.4,0.0,2.7,0.0,0.2,0.2,0.0,Hard
É^ÉCÉàÉEÉpÉâÉ_ÉCÉX.sm,.sm,Hard,471,48.2,48.4,0.0,3.0,0.0,0.2,0.2,0.0,Hard
É^ÉCÉàÉEÉpÉâÉ_ÉCÉX.sm,.sm,Challenge,554,44.4,45.1,0.0,10.1,0.0,0.2,0.2,0.0,Hard
tamutamu.sm,.sm,Medium,421,54.2,39.0,0.0,5.5,0.5,0.2,0.0,0.7,Hard
tamutamu.sm,.sm,Hard,584,40.1,31.8,3.8,19.5,4.1,0.2,0.0,0.5,Hard
tamutamu.sm,.sm,Challenge,712,32.9,27.1,3.9,28.5,4.2,2.9,0.0,0.4,Challenging
Toward the future.sm,.sm,Medium,1014,26.4,26.5,0.0,47.0,0.0,0.0,0.0,0.0,Challenging
Toward the future.sm,.sm,Hard,1060,25.2,25.4,0.0,45.8,0.0,3.7,0.0,0.0,Challenging
Toward the future.sm,.sm,Challenge,1073,24.9,25.1,0.0,45.2,0.0,4.8,0.0,0.0,Challenging
prism.sm,.sm,Challenge,802,33.8,31.8,0.7,32.5,0.2,0.6,0.2,0.0,Challenging
prism.sm,.sm,Medium,490,50.0,38.8,0.8,8.6,0.4,1.0,0.4,0.0,Hard
prism.sm,.sm,Hard,555,46.3,35.3,0.7,16.0,0.4,0.9,0.4,0.0,Hard
élÇ¬ótÇÃÉNÉçÅ[ÉoÅ[.sm,.sm,Medium,259,37.8,36.7,1.2,23.2,1.2,0.0,0.0,0.0,Hard
élÇ¬ótÇÃÉNÉçÅ[ÉoÅ[.sm,.sm,Hard,407,34.2,31.9,4.4,24.8,4.7,0.0,0.0,0.0,Hard
élÇ¬ótÇÃÉNÉçÅ[ÉoÅ[.sm,.sm,Challenge,423,33.3,32.6,4.3,24.3,4.5,0.9,0.0,0.0,Challenging
ÇÕÇ»É}ÉãÉbÅI.sm,.sm,Hard,465,39.8,37.2,0.9,22.2,0.0,0.0,0.0,0.0,Hard
ÇÕÇ»É}ÉãÉbÅI.sm,.sm,Challenge,655,29.6,29.2,1.7,37.3,1.7,0.6,0.0,0.0,Challenging
basic.sm,.sm,Challenge,647,30.9,29.2,2.3,32.8,2.3,2.5,0.0,0.0,Challenging
basic.sm,.sm,Beginner,687,29.3,27.7,2.5,35.8,2.5,2.3,0.0,0.0,Challenging
good-bye crisis.sm,.sm,Medium,331,52.6,47.4,0.0,0.0,0.0,0.0,0.0,0.0,Easy
good-bye crisis.sm,.sm,Hard,513,46.2,52.4,0.0,1.4,0.0,0.0,0.0,0.0,Easy
good-bye crisis.sm,.sm,Challenge,636,42.6,50.3,0.0,7.1,0.0,0.0,0.0,0.0,Easy
ÇµÇ„Ç´ÇµÇ„Ç´ÇøÇ„Å`Ç¢ÇŸÇ§ÅI.sm,.sm,Hard,304,35.9,41.4,0.0,13.2,0.0,9.2,0.3,0.0,Challenging
ÇµÇ„Ç´ÇµÇ„Ç´ÇøÇ„Å`Ç¢ÇŸÇ§ÅI.sm,.sm,Challenge,541,27.2,27.2,0.0,21.4,0.0,23.8,0.4,0.0,Challenging
mottoÅôîhéËÇ…ÇÀ!.sm,.sm,Easy,248,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,Easy
mottoÅôîhéËÇ…ÇÀ!.sm,.sm,Medium,286,51.4,48.6,0.0,0.0,0.0,0.0,0.0,0.0,Easy
mottoÅôîhéËÇ…ÇÀ!.sm,.sm,Hard,465,46.7,37.8,0.0,15.5,0.0,0.0,0.0,0.0,Hard
mottoÅôîhéËÇ…ÇÀ!.sm,.sm,Challenge,549,40.3,38.6,0.7,19.7,0.7,0.0,0.0,0.0,Hard
goldbh.sm,.sm,Medium,321,57.6,36.4,0.0,2.8,0.0,1.2,1.9,0.0,Hard
goldbh.sm,.sm,Hard,385,53.2,41.8,0.0,2.3,0.0,1.0,1.6,0.0,Hard
goldbh.sm,.sm,Challenge,424,50.2,42.5,0.0,4.5,0.0,1.4,1.4,0.0,Hard
ironnnakatati.sm,.sm,Medium,563,42.8,39.6,0.4,16.9,0.4,0.0,0.0,0.0,Hard
ironnnakatati.sm,.sm,Hard,665,36.4,34.1,2.7,24.1,2.7,0.0,0.0,0.0,Hard
ironnnakatati.sm,.sm,Challenge,782,30.9,30.2,2.3,34.1,2.3,0.0,0.1,0.0,Challenging
Love for PAPA.sm,.sm,Medium,499,40.7,40.9,0.0,18.4,0.0,0.0,0.0,0.0,Hard
Love for PAPA.sm,.sm,Hard,617,33.7,36.8,0.0,28.4,0.0,1.1,0.0,0.0,Hard
Love for PAPA.sm,.sm,Challenge,698,30.7,33.1,0.9,32.4,0.9,2.1,0.0,0.0,Challenging
Amazing sky.sm,.sm,Medium,812,32.3,31.8,4.4,23.0,2.8,1.8,3.1,0.7,Challenging
Amazing sky.sm,.sm,Hard,912,29.6,29.2,4.1,24.9,3.4,2.4,4.5,2.0,Challenging
Amazing sky.sm,.sm,Challenge,1126,24.2,24.0,3.3,34.5,2.8,4.1,5.2,2.0,Challenging
Sweet Love.sm,.sm,Medium,265,42.6,40.8,0.0,16.6,0.0,0.0,0.0,0.0,Hard
Sweet Love.sm,.sm,Hard,393,33.1,33.1,0.0,33.8,0.0,0.0,0.0,0.0,Challenging
Sweet Love.sm,.sm,Challenge,653,23.4,23.3,9.5,30.6,9.5,3.7,0.0,0.0,Challenging
O.SHI.E.TE.ÉgÉDÉãÅ[ÅôÇÕÇüÇ∆.sm,.sm,Medium,352,49.1,47.7,0.0,3.1,0.0,0.0,0.0,0.0,Easy
O.SHI.E.TE.ÉgÉDÉãÅ[ÅôÇÕÇüÇ∆.sm,.sm,Hard,492,42.1,42.9,0.0,15.0,0.0,0.0,0.0,0.0,Hard
O.SHI.E.TE.ÉgÉDÉãÅ[ÅôÇÕÇüÇ∆.sm,.sm,Challenge,614,37.9,39.6,3.7,15.0,3.7,0.0,0.0,0.0,Hard
tasogaredokino reirainn.sm,.sm,Hard,446,36.3,32.7,3.1,22.4,3.1,0.9,1.3,0.0,Challenging
tasogaredokino reirainn.sm,.sm,Challenge,1198,18.1,18.4,9.6,24.1,9.5,9.6,10.7,0.0,Challenging
detonator.sm,.sm,Medium,346,46.5,38.4,0.0,15.0,0.0,0.0,0.0,0.0,Hard
detonator.sm,.sm,Hard,438,44.7,39.5,0.5,14.8,0.5,0.0,0.0,0.0,Hard
detonator.sm,.sm,Challenge,481,42.0,38.3,0.4,18.1,0.8,0.0,0.0,0.4,Hard
girlS.sm,.sm,Medium,703,45.2,45.0,0.0,9.8,0.0,0.0,0.0,0.0,Easy
girlS.sm,.sm,Hard,884,38.6,38.3,0.0,22.9,0.0,0.2,0.0,0.0,Hard
girlS.sm,.sm,Challenge,1006,34.0,33.9,0.0,31.9,0.0,0.2,0.0,0.0,Challenging
Girl meets Love.sm,.sm,Challenge,819,35.5,32.2,0.0,31.0,0.0,0.6,0.1,0.5,Challenging
Girl meets Love.sm,.sm,Beginner,1029,28.4,27.0,0.6,42.0,0.6,0.6,0.5,0.4,Challenging
toitoitoi.sm,.sm,Medium,491,46.8,44.6,0.0,8.6,0.0,0.0,0.0,0.0,Easy
toitoitoi.sm,.sm,Hard,609,39.9,38.9,0.0,21.2,0.0,0.0,0.0,0.0,Hard
toitoitoi.sm,.sm,Challenge,807,30.1,29.4,0.0,40.5,0.0,0.0,0.0,0.0,Challenging
basic.sm,.sm,Medium,303,61.1,38.9,0.0,0.0,0.0,0.0,0.0,0.0,Easy
basic.sm,.sm,Hard,416,45.7,40.1,0.0,13.9,0.0,0.2,0.0,0.0,Hard
basic.sm,.sm,Challenge,522,37.0,32.6,0.0,24.7,0.0,5.7,0.0,0.0,Challenging
sinayaka.sm,.sm,Challenge,225,11.1,9.8,0.9,19.6,0.9,39.1,18.7,0.0,Challenging
ètÇÃóz.sm,.sm,Medium,239,72.0,27.6,0.0,0.0,0.0,0.0,0.4,0.0,Hard
ètÇÃóz.sm,.sm,Hard,373,55.2,39.9,0.0,3.8,0.0,0.0,1.1,0.0,Hard
ètÇÃóz.sm,.sm,Challenge,590,39.8,34.9,0.0,24.6,0.0,0.0,0.7,0.0,Hard
FairlyLife.sm,.sm,Challenge,707,38.5,37.8,0.0,23.8,0.0,0.0,0.0,0.0,Hard
FairlyLife.sm,.sm,Medium,398,59.5,40.5,0.0,0.0,0.0,0.0,0.0,0.0,Easy
FairlyLife.sm,.sm,Hard,544,48.9,46.7,0.0,4.4,0.0,0.0,0.0,0.0,Easy
Face of Fact.sm,.sm,Medium,465,48.8,31.6,0.0,19.6,0.0,0.0,0.0,0.0,Hard
Face of Fact.sm,.sm,Hard,627,44.7,35.4,0.0,19.5,0.0,0.5,0.0,0.0,Hard
Face of Fact.sm,.sm,Challenge,817,37.2,32.8,3.1,21.4,2.4,3.1,0.0,0.0,Challenging
Face of Fact.sm,.sm,Beginner,1039,29.5,27.1,5.6,21.9,5.0,7.7,1.5,1.5,Challenging
arupizi.sm,.sm,Medium,519,55.5,36.2,0.0,8.3,0.0,0.0,0.0,0.0,Easy
arupizi.sm,.sm,Hard,678,47.9,45.3,0.0,6.6,0.1,0.0,0.0,0.0,Hard
arupizi.sm,.sm,Challenge,891,37.3,36.7,0.0,26.0,0.0,0.0,0.0,0.0,Hard
ÉxÉCÉrÅ[ÉÅÉCÉrÅ[.sm,.sm,Medium,430,37.7,37.9,0.0,24.0,0.0,0.2,0.2,0.0,Hard
