actual_bpm,rmse
60.0,60.91888960832355
61.0,60.23011428402462
62.0,59.55016559357515
63.0,60.95626847721788
64.0,59.74389787529211
65.0,57.56638679723515
66.0,56.55282682786265
67.0,56.293871780150276
68.0,41.7612260356422
69.0,55.06460851682423
70.0,54.4671154612273
71.0,55.985117069926126
72.0,53.30832747121014
73.0,52.74782775938108
74.0,55.481728724168484
75.0,53.77421934967226
76.0,48.744230427815765
77.0,52.74782775938108
78.0,52.255781179374466
79.0,51.130551858290495
80.0,49.21607686744467
81.0,50.86911309101689
82.0,50.438080851673966
83.0,48.12137432229743
84.0,47.54413154580115
85.0,49.24428900898052
86.0,47.0507999695837
87.0,46.476995504347215
88.0,46.15914499497003
89.0,44.73253849269008
90.0,46.9041575982343
91.0,46.629747300766425
92.0,46.37528077183648
93.0,46.857941340467214
94.0,45.927479065732896
95.0,44.503433076062294
96.0,44.352126342613055
97.0,47.282836914325124
98.0,46.01449047129973
99.0,45.909330932465856
100.0,45.8257569495584
101.0,45.422706020471985
102.0,45.723808531952656
103.0,43.9203825119955
104.0,44.97406660139448
105.0,53.150729063673246
106.0,44.075692469508255
107.0,45.85120863546929
108.0,54.88978856662584
109.0,46.05431575867782
110.0,45.582647770591144
111.0,44.782188919752954
112.0,44.98888751680797
113.0,45.99637666889281
114.0,45.46549363100671
115.0,46.696419087073004
116.0,46.02414825091522
117.0,47.7039481245176
118.0,48.620983124572874
119.0,47.00945531368013
120.0,49.21607686744467
121.0,47.75981574503821
122.0,48.1617644564187
123.0,62.39747145874137
124.0,50.15974481593781
125.0,50.579969684978394
126.0,49.93773901347335
127.0,50.28916384272063
128.0,51.290025021115625
129.0,51.43388420530229
130.0,52.91502622129181
131.0,52.79835856034415
132.0,53.9505946831605
133.0,54.48853090330111
134.0,55.03937984146745
135.0,54.79760740924532
136.0,56.178287620752556
137.0,56.016862540567985
138.0,57.36433270479721
139.0,57.28001396647874
140.0,58.11865258054232
141.0,59.22555754627108
142.0,59.9962961819774
143.0,60.51721518157733
144.0,61.17733785207286
145.0,61.84658438426491
146.0,62.52466180103123
147.0,63.21128591214283
148.0,63.38243710471642
149.0,67.90434448545984
