song_name,window_start,window_end,actual_bpm,pred_bpm
song_1,0.0,20.0,101.25388153443325,120.0
song_1,20.0,40.0,101.25388153443325,120.0
song_1,40.0,60.0,101.25388153443325,120.0
song_1,60.0,80.0,101.25388153443325,120.0
song_1,80.0,100.0,101.25388153443325,120.0
song_1,100.0,120.0,101.25388153443325,120.0
song_1,120.0,140.0,101.25388153443325,120.0
song_1,140.0,160.0,101.25388153443325,120.0
song_1,160.0,180.0,101.25388153443325,120.0
song_1,180.0,185.48064161403428,101.25388153443325,120.0
song_2,0.0,20.0,90.1965724615242,120.0
song_2,20.0,40.0,90.1965724615242,120.0
song_2,40.0,60.0,90.1965724615242,120.0
song_2,60.0,80.0,90.1965724615242,120.0
