dimension,correlation,abs_correlation,p_value
220,0.9898500471588697,0.9898500471588697,1.2654343627160339e-153
181,0.9885248756577698,0.9885248756577698,7.0255077554376725e-149
1137,-0.9870501626071988,0.9870501626071988,3.294966401982381e-144
652,0.9862304651397337,0.9862304651397337,7.723043333039668e-142
1158,0.9861062702266941,0.9861062702266941,1.7156325210064536e-141
1255,0.985017466304446,0.985017466304446,1.400162204455727e-138
1082,-0.9839491828186339,0.9839491828186339,6.3508795458640176e-136
1115,-0.9818991026158318,0.9818991026158318,2.727145644105883e-131
426,-0.9796052765772496,0.9796052765772496,1.0700026003721357e-126
1263,-0.9782926220028886,0.9782926220028886,2.683444876543274e-124
337,0.9768307346032791,0.9768307346032791,8.58794206506563e-122
568,-0.9767181292678504,0.9767181292678504,1.318792482827353e-121
456,0.9766869736649881,0.9766869736649881,1.4844220372327897e-121
1038,-0.9765564325311623,0.9765564325311623,2.4327044090708266e-121
374,-0.9765227369328934,0.9765227369328934,2.762285707509259e-121
1198,-0.9759247505750277,0.9759247505750277,2.555100475979679e-120
1184,-0.9752378027980051,0.9752378027980051,3.0742548671345836e-119
400,0.974550907728882,0.974550907728882,3.451931135663367e-118
825,0.9739518886380062,0.9739518886380062,2.6967172801305348e-117
540,-0.9734460587954744,0.9734460587954744,1.474578285853466e-116
183,-0.973306625923754,0.973306625923754,2.3417966785034426e-116
903,0.9726927943534841,0.9726927943534841,1.7435369426365096e-115
692,-0.9717367926962791,0.9717367926962791,3.635099156531208e-114
999,0.9712326726724796,0.9712326726724796,1.7297654822848524e-113
285,-0.9693664264394808,0.9693664264394808,4.4175381732331506e-111
786,-0.9686425864602509,0.9686425864602509,3.4591706094034324e-110
1132,-0.96847575668218,0.96847575668218,5.520761570517127e-110
194,-0.9681636249528336,0.9681636249528336,1.3150394155906867e-109
1155,0.9676593788788881,0.9676593788788881,5.248283859043025e-109
620,-0.9675591905115921,0.9675591905115921,6.891444269211477e-109
613,0.9674456323515339,0.9674456323515339,9.374340595079938e-109
62,0.9673107987692744,0.9673107987692744,1.3489416307100806e-108
433,-0.9673102777322792,0.9673102777322792,1.3508360212329678e-108
176,-0.9668639946881253,0.9668639946881253,4.456978783343971e-108
883,-0.9664128164152609,0.9664128164152609,1.4655351345423465e-107
423,-0.9658346247749814,0.9658346247749814,6.580377219132607e-107
215,0.9653887664079088,0.9653887664079088,2.0587154572141938e-106
531,0.9651809282357962,0.9651809282357962,3.485684053072681e-106
873,0.9649822006717862,0.9649822006717862,5.749885119525474e-106
1159,0.9649301921789617,0.9649301921789617,6.551481322882226e-106
256,-0.9648643473324519,0.9648643473324519,7.72638724210526e-106
713,-0.9647281163446935,0.9647281163446935,1.0858209943391305e-105
1119,0.9645828336437409,0.9645828336437409,1.5585480497264861e-105
