song_name,window_start,window_end,actual_bpm,pred_bpm,acc0,acc1,acc2,rmse
bpm_60,0.0,20.0,60.0,60.483870967741936,1,0,0,0.48387096774193594
bpm_60,20.0,40.0,60.0,60.483870967741936,1,0,0,0.48387096774193594
bpm_60,40.0,60.0,60.0,60.483870967741936,1,0,0,0.48387096774193594
bpm_60,60.0,80.0,60.0,60.483870967741936,1,0,0,0.48387096774193594
bpm_60,80.0,100.0,60.0,60.483870967741936,1,0,0,0.48387096774193594
bpm_60,100.0,120.0,60.0,60.483870967741936,1,0,0,0.48387096774193594
bpm_60,120.0,140.0,60.0,60.483870967741936,1,0,0,0.48387096774193594
bpm_60,140.0,160.0,60.0,60.483870967741936,1,0,0,0.48387096774193594
bpm_60,160.0,180.0,60.0,60.483870967741936,1,0,0,0.48387096774193594
bpm_61,0.0,20.0,61.0,60.483870967741936,0,1,0,0.5161290322580641
bpm_61,20.0,40.0,61.0,60.483870967741936,0,1,0,0.5161290322580641
bpm_61,40.0,60.0,61.0,60.483870967741936,0,1,0,0.5161290322580641
bpm_61,60.0,80.0,61.0,60.483870967741936,0,1,0,0.5161290322580641
bpm_61,80.0,100.0,61.0,60.483870967741936,0,1,0,0.5161290322580641
bpm_61,100.0,120.0,61.0,60.483870967741936,0,1,0,0.5161290322580641
bpm_61,120.0,140.0,61.0,60.483870967741936,0,1,0,0.5161290322580641
bpm_61,140.0,160.0,61.0,60.483870967741936,0,1,0,0.5161290322580641
bpm_61,160.0,180.0,61.0,60.483870967741936,0,1,0,0.5161290322580641
bpm_62,0.0,20.0,62.0,62.5,1,0,0,0.5
bpm_62,20.0,40.0,62.0,62.5,1,0,0,0.5
bpm_62,40.0,60.0,62.0,62.5,1,0,0,0.5
bpm_62,60.0,80.0,62.0,62.5,1,0,0,0.5
bpm_62,80.0,100.0,62.0,62.5,1,0,0,0.5
bpm_62,100.0,120.0,62.0,62.5,1,0,0,0.5
bpm_62,120.0,140.0,62.0,62.5,1,0,0,0.5
bpm_62,140.0,160.0,62.0,62.5,1,0,0,0.5
bpm_62,160.0,180.0,62.0,62.5,1,0,0,0.5
bpm_63,0.0,20.0,63.0,62.5,0,1,0,0.5
bpm_63,20.0,40.0,63.0,62.5,0,1,0,0.5
bpm_63,40.0,60.0,63.0,62.5,0,1,0,0.5
bpm_63,60.0,80.0,63.0,62.5,0,1,0,0.5
bpm_63,80.0,100.0,63.0,62.5,0,1,0,0.5
bpm_63,100.0,120.0,63.0,62.5,0,1,0,0.5
bpm_63,120.0,140.0,63.0,62.5,0,1,0,0.5
bpm_63,140.0,160.0,63.0,62.5,0,1,0,0.5
bpm_63,160.0,180.0,63.0,62.5,0,1,0,0.5
bpm_64,0.0,20.0,64.0,64.65517241379311,0,1,0,0.6551724137931103
bpm_64,20.0,40.0,64.0,64.65517241379311,0,1,0,0.6551724137931103
bpm_64,40.0,60.0,64.0,64.65517241379311,0,1,0,0.6551724137931103
bpm_64,60.0,80.0,64.0,64.65517241379311,0,1,0,0.6551724137931103
bpm_64,80.0,100.0,64.0,64.65517241379311,0,1,0,0.6551724137931103
bpm_64,100.0,120.0,64.0,64.65517241379311,0,1,0,0.6551724137931103
bpm_64,120.0,140.0,64.0,64.65517241379311,0,1,0,0.6551724137931103
bpm_64,140.0,160.0,64.0,64.65517241379311,0,1,0,0.6551724137931103
bpm_64,160.0,180.0,64.0,64.65517241379311,0,1,0,0.6551724137931103
bpm_65,0.0,20.0,65.0,64.65517241379311,1,0,0,0.3448275862068897
bpm_65,20.0,40.0,65.0,64.65517241379311,1,0,0,0.3448275862068897
bpm_65,40.0,60.0,65.0,64.65517241379311,1,0,0,0.3448275862068897
bpm_65,60.0,80.0,65.0,64.65517241379311,1,0,0,0.3448275862068897
bpm_65,80.0,100.0,65.0,64.65517241379311,1,0,0,0.3448275862068897
bpm_65,100.0,120.0,65.0,64.65517241379311,1,0,0,0.3448275862068897
bpm_65,120.0,140.0,65.0,64.65517241379311,1,0,0,0.3448275862068897
bpm_65,140.0,160.0,65.0,64.65517241379311,1,0,0,0.3448275862068897
bpm_65,160.0,180.0,65.0,64.65517241379311,1,0,0,0.3448275862068897
bpm_66,0.0,20.0,66.0,66.96428571428571,0,1,0,0.9642857142857082
bpm_66,20.0,40.0,66.0,66.96428571428571,0,1,0,0.9642857142857082
bpm_66,40.0,60.0,66.0,66.96428571428571,0,1,0,0.9642857142857082
bpm_66,60.0,80.0,66.0,66.96428571428571,0,1,0,0.9642857142857082
bpm_66,80.0,100.0,66.0,66.96428571428571,0,1,0,0.9642857142857082
bpm_66,100.0,120.0,66.0,66.96428571428571,0,1,0,0.9642857142857082
bpm_66,120.0,140.0,66.0,66.96428571428571,0,1,0,0.9642857142857082
bpm_66,140.0,160.0,66.0,66.96428571428571,0,1,0,0.9642857142857082
bpm_66,160.0,180.0,66.0,66.96428571428571,0,1,0,0.9642857142857082
bpm_67,0.0,20.0,67.0,66.96428571428571,1,0,0,0.035714285714291805
bpm_67,20.0,40.0,67.0,66.96428571428571,1,0,0,0.035714285714291805
bpm_67,40.0,60.0,67.0,66.96428571428571,1,0,0,0.035714285714291805
bpm_67,60.0,80.0,67.0,66.96428571428571,1,0,0,0.035714285714291805
bpm_67,80.0,100.0,67.0,66.96428571428571,1,0,0,0.035714285714291805
bpm_67,100.0,120.0,67.0,66.96428571428571,1,0,0,0.035714285714291805
bpm_67,120.0,140.0,67.0,66.96428571428571,1,0,0,0.035714285714291805
bpm_67,140.0,160.0,67.0,66.96428571428571,1,0,0,0.035714285714291805
bpm_67,160.0,180.0,67.0,66.96428571428571,1,0,0,0.035714285714291805
bpm_68,0.0,20.0,68.0,66.96428571428571,0,1,0,1.0357142857142918
bpm_68,20.0,40.0,68.0,66.96428571428571,0,1,0,1.0357142857142918
bpm_68,40.0,60.0,68.0,66.96428571428571,0,1,0,1.0357142857142918
bpm_68,60.0,80.0,68.0,66.96428571428571,0,1,0,1.0357142857142918
bpm_68,80.0,100.0,68.0,66.96428571428571,0,1,0,1.0357142857142918
bpm_68,100.0,120.0,68.0,66.96428571428571,0,1,0,1.0357142857142918
bpm_68,120.0,140.0,68.0,66.96428571428571,0,1,0,1.0357142857142918
