song_name,duration,category,bpm_sequence
song_1,185.5,Constant BPM,"101.3"
song_2,200.3,Constant BPM,"90.2"
song_3,208.8,Constant BPM,"92.0"
song_4,226.6,Constant BPM,"127.8"
song_5,222.0,Constant BPM,"81.1"
song_6,219.4,Constant BPM,"100.3"
song_7,219.6,Constant BPM,"98.8"
song_8,231.3,Constant BPM,"154.0"
song_9,211.8,Constant BPM,"121.8"
song_10,212.8,Constant BPM,"140.5"
song_11,186.6,Changing every 60s,"132.8 -> 116.3 -> 165.9 -> 83.4"
song_12,199.4,Changing every 60s,"115.7 -> 154.7 -> 157.4 -> 124.0"
song_13,233.2,Changing every 60s,"145.5 -> 91.3 -> 158.1 -> 128.4"
song_14,224.1,Changing every 60s,"157.1 -> 99.6 -> 143.0 -> 159.0"
song_15,214.1,Changing every 60s,"141.0 -> 87.5 -> 85.2 -> 114.1"
song_16,199.0,Changing every 60s,"96.5 -> 123.4 -> 107.8 -> 156.2"
song_17,187.7,Changing every 60s,"119.4 -> 91.3 -> 137.0 -> 109.5"
song_18,235.4,Changing every 60s,"167.9 -> 159.0 -> 143.5 -> 83.6"
song_19,217.4,Changing every 60s,"131.6 -> 163.3 -> 128.8 -> 131.4"
song_20,202.8,Changing every 60s,"111.5 -> 168.7 -> 147.2 -> 161.5"
song_21,215.6,Changing every 40s,"126.4 -> 124.9 -> 133.8 -> 126.0 -> 91.2 -> 125.4"
song_22,231.6,Changing every 40s,"120.2 -> 145.8 -> 90.4 -> 106.4 -> 106.1 -> 121.4"
song_23,203.7,Changing every 40s,"158.2 -> 143.1 -> 123.1 -> 104.3 -> 112.1 -> 95.5"
song_24,221.4,Changing every 40s,"81.4 -> 147.7 -> 157.5 -> 115.1 -> 103.7 -> 115.3"
song_25,228.0,Changing every 40s,"87.3 -> 161.3 -> 132.4 -> 121.9 -> 140.0 -> 159.6"
song_26,227.9,Changing every 40s,"158.5 -> 168.6 -> 125.1 -> 92.9 -> 114.6 -> 135.8"
song_27,187.2,Changing every 40s,"142.9 -> 154.7 -> 166.2 -> 110.9 -> 133.7"
song_28,204.1,Changing every 40s,"82.9 -> 113.6 -> 113.3 -> 157.8 -> 129.8 -> 169.1"
song_29,236.3,Changing every 40s,"96.9 -> 132.4 -> 80.6 -> 123.9 -> 150.2 -> 131.7"
song_30,239.2,Changing every 40s,"80.5 -> 152.5 -> 124.6 -> 114.2 -> 108.7 -> 103.0"
song_31,180.3,Changing every 50s,"97.4 -> 95.5 -> 160.5 -> 106.2"
song_32,197.9,Changing every 50s,"112.5 -> 88.8 -> 145.1 -> 157.1"
song_33,210.3,Changing every 50s,"151.3 -> 141.5 -> 145.5 -> 98.7 -> 131.7"
song_34,228.2,Changing every 50s,"129.1 -> 137.2 -> 116.7 -> 103.4 -> 102.7"
song_35,238.0,Changing every 50s,"83.7 -> 145.4 -> 124.7 -> 110.8 -> 116.3"
song_36,183.8,Changing every 50s,"91.9 -> 141.6 -> 136.4 -> 130.8"
song_37,208.0,Changing every 50s,"140.2 -> 134.7 -> 159.1 -> 94.7 -> 136.1"
song_38,193.7,Changing every 50s,"167.8 -> 107.0 -> 140.6 -> 119.2"
song_39,211.4,Changing every 50s,"122.5 -> 162.6 -> 88.9 -> 115.9 -> 105.0"
song_40,239.1,Changing every 50s,"113.8 -> 142.6 -> 137.9 -> 126.3 -> 81.4"
song_41,186.6,Changing randomly,"98.8 -> 110.6 -> 100.0 -> 164.6 -> 156.2 -> 109.3 -> 168.1 -> 144.1 -> 85.5 -> 110.5 -> 139.6 -> 157.7 -> 101.3 -> 119.2 -> 114.9"
song_42,208.1,Changing randomly,"158.6 -> 106.5 -> 106.8 -> 86.7 -> 89.5 -> 114.3 -> 114.8 -> 100.2 -> 161.6 -> 120.4 -> 98.6 -> 105.0 -> 165.3 -> 147.4"
song_43,201.9,Changing randomly,"102.2 -> 97.2 -> 160.8 -> 90.2 -> 127.1 -> 138.0 -> 142.4 -> 141.5 -> 140.0 -> 95.0 -> 80.8 -> 160.3 -> 102.4"
song_44,219.1,Changing randomly,"82.5 -> 146.9 -> 119.0 -> 160.5 -> 157.6 -> 162.5 -> 147.9 -> 160.6 -> 163.2 -> 81.0 -> 137.6 -> 168.7 -> 165.7 -> 155.0 -> 147.2 -> 133.1 -> 108.6 -> 95.9 -> 80.3"
song_45,207.1,Changing randomly,"147.1 -> 141.2 -> 160.2 -> 131.5 -> 138.2 -> 93.7 -> 101.7 -> 138.6 -> 156.7 -> 81.6 -> 116.5 -> 82.2 -> 142.8 -> 131.5"
song_46,212.7,Changing randomly,"95.6 -> 149.3 -> 95.0 -> 98.3 -> 132.2 -> 90.4 -> 162.9 -> 144.1 -> 148.9 -> 162.9 -> 104.2 -> 92.9 -> 104.6 -> 96.8"
song_47,195.7,Changing randomly,"158.3 -> 129.9 -> 142.7 -> 166.7 -> 162.6 -> 156.4 -> 80.9 -> 165.6 -> 120.8 -> 139.8 -> 163.6 -> 150.3 -> 159.3 -> 82.8 -> 101.5"
song_48,204.2,Changing randomly,"139.4 -> 138.1 -> 162.6 -> 146.4 -> 160.2 -> 166.9 -> 142.6 -> 86.6 -> 139.9 -> 162.4 -> 168.6 -> 137.2 -> 109.1 -> 133.2"
song_49,224.2,Changing randomly,"154.9 -> 168.3 -> 106.2 -> 142.5 -> 168.2 -> 127.7 -> 124.2 -> 139.2 -> 137.4 -> 167.2 -> 137.6 -> 163.2 -> 134.6 -> 99.5 -> 134.2 -> 136.3"
song_50,238.1,Changing randomly,"111.9 -> 102.1 -> 108.8 -> 94.9 -> 128.8 -> 92.4 -> 92.6 -> 158.9 -> 129.7 -> 147.8 -> 112.1 -> 149.8 -> 165.8 -> 134.0 -> 117.3"
